,詞,長度,標準症狀,備註,包含
255,脈沉弦滑細稍數,7,脈部位沉。脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈速度快。,脈診,
256,大便欲解解不出,7,大便不暢。,新,_
257,脈沉弦滑稍細數,7,脈部位沉。脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈速度快。,脈診,
258,脈沉弦滑稍弱沉,7,脈部位沉。脈緊度緊。脈長度長。脈利度滑。脈力度弱。脈部位沉。,脈診,
259,脈有細弦緊滑細,7,脈寬度細。脈緊度緊。脈長度長。脈緊度緊。脈利度滑。脈寬度細。,脈診,
260,脈弱細滑滑細弱,7,脈力度弱。脈寬度細。脈利度滑。脈利度滑。脈寬度細。脈力度弱。,脈診,
261,脈弦長沉弱稍澀,7,脈緊度緊。脈長度長。脈長度長。脈部位沉。脈力度弱。脈利度澀。脈幅異常。,脈診,
262,脈沉弦稍滑細數,7,脈部位沉。脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈速度快。,脈診,
263,脈弱滑弱滑滑滑,7,脈力度弱。脈利度滑。脈力度弱。脈利度滑。脈利度滑。脈利度滑。,脈診,
264,脈弱弦弦弱弱弦,7,脈力度弱。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈力度弱。脈力度弱。脈緊度緊。脈長度長。,脈診,
265,脈弱細滑弱稍弦,7,脈力度弱。脈寬度細。脈利度滑。脈力度弱。脈緊度緊。脈長度長。,脈診,
266,腹部柔軟無水腫,7,,新,_
267,背僵溫暖時減輕,7,背僵溫暖時減輕。,,_
268,大便偶稍硬難解,7,大便質硬。大便不暢。,新,_
269,大便欲解但難解,7,大便不暢。,新,_
270,小便收攝力不佳,7,小便失禁。,新,_
271,脈沉弦稍澀細數,7,脈部位沉。脈緊度緊。脈長度長。脈利度澀。脈幅異常。脈寬度細。脈速度快。,脈診,
272,大腳指關節酸痛,7,？。,新,_
273,大便四五日不便,7,大便次少。,新,_
274,小便時會有脹悶,7,？。,新,_
275,小便時稍有不暢,7,小便不暢。,新,_
276,脈弱澀弱澀弱弱,7,脈力度弱。脈利度澀。脈幅異常。脈力度弱。脈利度澀。脈幅異常。脈力度弱。脈力度弱。,脈診,
277,小便時仍會有刺,7,小便疼痛。,新,_
278,大便時會有血絲,7,大便挾血。,新,_
279,小便時會有澀痛,7,小便疼痛。,新,_
280,小便會有中斷點,7,小便不暢。,新,_
281,大便時常有欲解,7,？。,新,_
282,脈弦沉稍滑細數,7,脈緊度緊。脈長度長。脈部位沉。脈利度滑。脈寬度細。脈速度快。,脈診,
283,刺激性食物少吃,7,,新,_
284,脈弦弦弱滑有弦,7,脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈力度弱。脈利度滑。脈緊度緊。脈長度長。,脈診,
285,四肢關節微酸痛,7,關節痛。四肢酸。,新,_
286,脈沉弦滑稍細沉,7,脈部位沉。脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈部位沉。,脈診,
287,舌體顏色淡紅色,7,舌體顏色淡紅色。,,_
288,心包經皆有瘀象,7,,新,_
289,脈浮細有澀有結,7,脈部位浮。脈寬度細。脈利度澀。脈幅異常。脈速度慢。脈止率亂。,脈診,
290,腹絞痛按壓改善,7,腹痛按壓時減輕。,新,_
291,腹鳴按壓時減輕,7,腹鳴按壓時減輕。,,_
292,白帶不少色淡黃,7,白帶色黃。白帶量多。,新,_
293,十二指腸潰瘍史,7,,新,_
294,右小指酸麻腫脹,7,手小指腫脹。手小指麻。手小指痛。,新,_
295,大拇指酸痛麻木,7,手拇指痛。手拇指麻。,新,_
296,胃部仍會有不適,7,,新,_
297,腰足麻木感酸痛,7,腰麻。足麻。腰酸。腰痛。下肢酸。足痛。,新,_
298,左耳明顯似蟬鳴,7,左耳鳴。,新,_
299,膝後微酸痛僵硬,7,膝酸。膝痛。四肢僵硬。,新,_
300,多坐骨神經痛平,7,,新,_
301,子宮內膜異位史,7,,新,_
302,自律神經失調史,7,,新,_
303,背部有熱感汗出,7,背熱。自汗。,新,_
304,甲狀腺功能異常,7,,新,_
305,胸汗出夜時減輕,7,胸汗出夜時減輕。,,_
306,舌下脈顏色紫色,7,舌下脈顏色紫色。,,_
307,肩頸易僵硬酸痛,7,頸項僵。頸項痛。肩痛。,新,_
308,腹脹腹瀉後減輕,7,腹脹腹瀉後減輕。,,_
309,醫療衛生保健業,7,,新,_
310,深呼吸後才舒適,7,,新,_
311,舌質暗紅乾有裂,7,舌體顏色紫色。舌苔濕度乾。舌體形體裂紋。,新,_
312,經血色深有血塊,7,月經挾塊。月經色紫。,新,_
313,質淡微暗兩邊紅,7,舌體顏色紫色。,新,_
314,舌體顏色深紅色,7,舌體顏色深紅色。,,_
315,舌尖朱點中裂紋,7,舌體形體點刺。舌體形體裂紋。,新,_
316,舌體顏色淡白色,7,舌體顏色淡白色。,,_
317,膝關節微酸無力,7,膝酸。下肢無力。,新,_
318,心律稍有不整減,7,心悸。,新,_
319,大便三四日未解,7,大便次少。,新,_
320,頸背部肌肉酸痛,7,頸項痛。背酸。背痛。,新,_
321,吞嚥時有異物感,7,咽阻。,新,_
322,脈弦細細滑細弱,7,脈緊度緊。脈長度長。脈寬度細。脈寬度細。脈利度滑。脈寬度細。脈力度弱。,脈診,
323,大便四五日一行,7,大便次少。,新,_
324,脈弦滑稍數結代,7,脈緊度緊。脈長度長。脈利度滑。脈速度快。脈速度慢。脈止率亂。脈止率定。,脈診,
325,脈動數滑數弱數,7,脈速度快。脈力度強。脈利度滑。脈長度短。脈速度快。脈利度滑。脈速度快。脈力度弱。脈速度快。,脈診,
326,脈浮弦稍滑稍弱,7,脈部位浮。脈緊度緊。脈長度長。脈利度滑。脈力度弱。,脈診,
327,小便時有泡濁感,7,小便挾乳糜。,新,_
328,脈浮弦滑稍細數,7,脈部位浮。脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈速度快。,脈診,
329,腹脹溫暖時減輕,7,腹脹溫暖時減輕。,,_
330,咽中會有異物感,7,咽阻。,新,_
331,腹脹大便後減輕,7,腹脹大便後減輕。,,_
332,想喝水但不多飲,7,渴不欲飲。,新,_
333,咽仍常有異物感,7,咽阻。,新,_
334,咽不舒有異物感,7,咽阻。,新,_
335,咽中仍有異物感,7,咽阻。,新,_
336,咽乾癢有異物感,7,喉乾。喉癢。咽阻。,新,_
337,對某些食物過敏,7,,新,_
338,解軟便一日多次,7,大便次多。,新,_
339,目部稍有異物感,7,,新,_
340,天寒頭暈症加劇,7,頭暈。,新,_
341,口乾不欲飲稍苦,7,口乾。渴不欲飲。口苦。,新,_
342,頭皮與皮膚皆癢,7,頭癢。皮膚癢。,新,_
343,目澀仍有漂浮物,7,目乾。,新,_
344,目澀仍有飄浮物,7,目乾。,新,_
345,眼睛稍有飄浮物,7,,新,_
346,兩眼同時異物感,7,,新,_
347,咽喉乾痛異物感,7,喉乾。喉痛。咽阻。,新,_
348,脅痛按壓時減輕,7,脅痛按壓時減輕。,,_
349,脈稍細弱稍有弦,7,脈寬度細。脈力度弱。脈緊度緊。脈長度長。,脈診,
350,吞納仍有異物感,7,咽阻。,新,_
351,脈澀弱滑弱稍弦,7,脈利度澀。脈幅異常。脈力度弱。脈利度滑。脈力度弱。脈緊度緊。脈長度長。,脈診,
352,腹脹按壓時減輕,7,腹脹按壓時減輕。,,_
353,夜時目澀多會乾,7,目乾。,新,_
354,解便多次不成型,7,大便次多。大便質稀。,新,_
355,大便三四日一行,7,大便次少。,新,_
356,小便不清徹白濁,7,小便色白。小便挾乳糜。,新,_
357,脈浮細滑弱弱弱,7,脈部位浮。脈寬度細。脈利度滑。脈力度弱。脈力度弱。脈力度弱。,脈診,
358,脈滑稍緊稍有結,7,脈利度滑。脈緊度緊。脈速度慢。脈止率亂。,脈診,
359,咽梗感有異物感,7,咽阻。,新,_
360,脈澀弱澀弱弱弱,7,脈利度澀。脈幅異常。脈力度弱。脈利度澀。脈幅異常。脈力度弱。脈力度弱。脈力度弱。,脈診,
361,脈稍數結澀大散,7,脈速度快。脈速度慢。脈止率亂。脈利度澀。脈幅異常。脈寬度寬。脈緊度散。,脈診,
362,脈濡澀結代稍弦,7,脈部位浮。脈力度弱。脈寬度細。脈利度澀。脈幅異常。脈速度慢。脈止率亂。脈止率定。脈緊度緊。脈長度長。,脈診,
363,脈稍弦沉滑稍緊,7,脈緊度緊。脈長度長。脈部位沉。脈利度滑。脈緊度緊。,脈診,
364,脈稍弱沉稍有細,7,脈力度弱。脈部位沉。脈寬度細。,脈診,
365,脈稍浮弦浮細弱,7,脈部位浮。脈緊度緊。脈長度長。脈部位浮。脈寬度細。脈力度弱。,脈診,
366,脈滑稍弱稍有弦,7,脈利度滑。脈力度弱。脈緊度緊。脈長度長。,脈診,
367,脈稍滑微弦稍弱,7,脈利度滑。脈寬度細。脈力度弱。脈緊度緊。脈長度長。脈力度弱。,脈診,
368,咽喉仍有異物感,7,咽阻。,新,_
369,脈細弱弱滑弱滑,7,脈寬度細。脈力度弱。脈力度弱。脈利度滑。脈力度弱。脈利度滑。,脈診,
370,脈細弱弱滑滑弱,7,脈寬度細。脈力度弱。脈力度弱。脈利度滑。脈利度滑。脈力度弱。,脈診,
371,脈滑大稍有動數,7,脈利度滑。脈寬度寬。脈速度快。脈力度強。脈利度滑。脈長度短。脈速度快。,脈診,
372,脈浮弦稍滑細弱,7,脈部位浮。脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈力度弱。,脈診,
373,脈浮細結滑有弦,7,脈部位浮。脈寬度細。脈速度慢。脈止率亂。脈利度滑。脈緊度緊。脈長度長。,脈診,
374,小便偶色赤或白,7,小便色紅。小便色白。,新,_
375,脈浮細滑弱稍弦,7,脈部位浮。脈寬度細。脈利度滑。脈力度弱。脈緊度緊。脈長度長。,脈診,
376,脈浮細澀弦滑細,7,脈部位浮。脈寬度細。脈利度澀。脈幅異常。脈緊度緊。脈長度長。脈利度滑。脈寬度細。,脈診,
377,脈浮細澀長弦長,7,脈部位浮。脈寬度細。脈利度澀。脈幅異常。脈長度長。脈緊度緊。脈長度長。脈長度長。,脈診,
378,脈浮細短弱短滑,7,脈部位浮。脈寬度細。脈長度短。脈力度弱。脈長度短。脈利度滑。,脈診,
379,脈浮細緊弦滑數,7,脈部位浮。脈寬度細。脈緊度緊。脈緊度緊。脈長度長。脈利度滑。脈速度快。,脈診,
380,脈浮緊細短細滑,7,脈部位浮。脈緊度緊。脈寬度細。脈長度短。脈寬度細。脈利度滑。,脈診,
381,脈滑大稍數有弦,7,脈利度滑。脈寬度寬。脈速度快。脈緊度緊。脈長度長。,脈診,
382,脈浮細緊弦細緊,7,脈部位浮。脈寬度細。脈緊度緊。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。,脈診,
383,脈細弦滑緩弦滑,7,脈寬度細。脈緊度緊。脈長度長。脈利度滑。脈速度慢。脈緊度緊。脈長度長。脈利度滑。,脈診,
384,脈浮細緊微弦細,7,脈部位浮。脈寬度細。脈緊度緊。脈寬度細。脈力度弱。脈緊度緊。脈長度長。脈寬度細。,脈診,
385,脈浮細緊細滑緊,7,脈部位浮。脈寬度細。脈緊度緊。脈寬度細。脈利度滑。脈緊度緊。,脈診,
386,脈浮緊弦稍細數,7,脈部位浮。脈緊度緊。脈緊度緊。脈長度長。脈寬度細。脈速度快。,脈診,
387,脈浮細細細滑細,7,脈部位浮。脈寬度細。脈寬度細。脈寬度細。脈利度滑。脈寬度細。,脈診,
388,脈浮弦滑稍微數,7,脈部位浮。脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈力度弱。脈速度快。,脈診,
389,腹痛按壓時減輕,7,腹痛按壓時減輕。,,_
390,脈浮細緊弦滑細,7,脈部位浮。脈寬度細。脈緊度緊。脈緊度緊。脈長度長。脈利度滑。脈寬度細。,脈診,
391,脈浮弦細稍澀數,7,脈部位浮。脈緊度緊。脈長度長。脈寬度細。脈利度澀。脈幅異常。脈速度快。,脈診,
392,小便仍稍有不適,7,,新,_
393,脈細細稍數稍弦,7,脈寬度細。脈寬度細。脈速度快。脈緊度緊。脈長度長。,脈診,
394,脈細細細弦細滑,7,脈寬度細。脈寬度細。脈寬度細。脈緊度緊。脈長度長。脈寬度細。脈利度滑。,脈診,
395,脈緩弱沉稍有細,7,脈速度慢。脈力度弱。脈部位沉。脈寬度細。,脈診,
396,脈細澀結代稍數,7,脈寬度細。脈利度澀。脈幅異常。脈速度慢。脈止率亂。脈止率定。脈速度快。,脈診,
397,脈細短滑數濡滑,7,脈寬度細。脈長度短。脈利度滑。脈速度快。脈部位浮。脈力度弱。脈寬度細。脈利度滑。,脈診,
398,脈細細弦細細弱,7,脈寬度細。脈寬度細。脈緊度緊。脈長度長。脈寬度細。脈寬度細。脈力度弱。,脈診,
399,脈細細弱稍有結,7,脈寬度細。脈寬度細。脈力度弱。脈速度慢。脈止率亂。,脈診,
400,脈細細弱細細弦,7,脈寬度細。脈寬度細。脈力度弱。脈寬度細。脈寬度細。脈緊度緊。脈長度長。,脈診,
401,大便仍前硬後軟,7,大便質初硬後稀。,新,_
402,脈細弦滑細弱滑,7,脈寬度細。脈緊度緊。脈長度長。脈利度滑。脈寬度細。脈力度弱。脈利度滑。,脈診,
403,小便不直接量少,7,小便不暢。小便量少。,新,_
404,大便二三日一行,7,大便次少。,新,_
405,脈細緊弦細細弱,7,脈寬度細。脈緊度緊。脈緊度緊。脈長度長。脈寬度細。脈寬度細。脈力度弱。,脈診,
406,小便中有白濁感,7,小便色白。小便挾乳糜。,新,_
407,大便仍稍有不適,7,,新,_
408,小便仍少時常黃,7,小便色黃。,新,_
409,脈結弱緩滑弱弱,7,脈速度慢。脈止率亂。脈力度弱。脈速度慢。脈利度滑。脈力度弱。脈力度弱。,脈診,
410,脈滑稍弱稍有澀,7,脈利度滑。脈力度弱。脈利度澀。脈幅異常。,脈診,
411,畏寒遇風時加重,7,畏寒遇風時加重。,,_
412,排便二三日一行,7,大便次少。,新,_
413,脈細弦細弦弦弱,7,脈寬度細。脈緊度緊。脈長度長。脈寬度細。脈緊度緊。脈長度長。脈緊度緊。脈長度長。脈力度弱。,脈診,
414,脈緩滑弱弱滑滑,7,脈速度慢。脈利度滑。脈力度弱。脈力度弱。脈利度滑。脈利度滑。,脈診,
415,脈細滑稍數稍弦,7,脈寬度細。脈利度滑。脈速度快。脈緊度緊。脈長度長。,脈診,
416,小便仍會有不暢,7,小便不暢。,新,_
417,排便仍會有不暢,7,大便不暢。,新,_
418,個人旅遊史：無,7,,新,_
419,血糖仍控制不佳,7,,新,_
420,血壓高控制不佳,7,,新,_
421,脈細弱滑弱滑弱,7,脈寬度細。脈力度弱。脈利度滑。脈力度弱。脈利度滑。脈力度弱。,脈診,
422,脈細弱滑有弦弱,7,脈寬度細。脈力度弱。脈利度滑。脈緊度緊。脈長度長。脈力度弱。,脈診,
423,脈細弱濡緩細微,7,脈寬度細。脈力度弱。脈部位浮。脈力度弱。脈寬度細。脈速度慢。脈寬度細。脈寬度細。脈力度弱。,脈診,
424,脈細弱稍動滑滑,7,脈寬度細。脈力度弱。脈速度快。脈力度強。脈利度滑。脈長度短。脈利度滑。脈利度滑。,脈診,
425,脈細浮弱數弱數,7,脈寬度細。脈部位浮。脈力度弱。脈速度快。脈力度弱。脈速度快。,脈診,
426,注意力無法集中,7,意識恍惚。,新,_
427,兩側肺尖纖維化,7,,新,_
428,舌稍紅苔薄中裂,7,舌體顏色紅色。舌苔厚度薄。舌體形體裂紋。,新,_
429,脈細弱細滑弦細,7,脈寬度細。脈力度弱。脈寬度細。脈利度滑。脈緊度緊。脈長度長。脈寬度細。,脈診,
430,小便仍是有不適,7,,新,_
431,脈細弱細滑細滑,7,脈寬度細。脈力度弱。脈寬度細。脈利度滑。脈寬度細。脈利度滑。,脈診,
432,脈稍緊稍有弦滑,7,脈緊度緊。脈緊度緊。脈長度長。脈利度滑。,脈診,
433,小便有潛血反應,7,小便挾血。,新,_
434,大便有食物殘渣,7,大便挾食物。,新,_
435,小便頻不易控制,7,小便次多。小便失禁。,新,_
436,血壓高控制多年,7,,,
437,深呼吸後則舒服,7,呼吸微弱。,新,_
438,脈細弱稍有弦弱,7,脈寬度細。脈力度弱。脈緊度緊。脈長度長。脈力度弱。,脈診,
439,腹冷溫暖時減輕,7,腹冷溫暖時減輕。,,_
440,脈稍滑稍澀微結,7,脈利度滑。脈利度澀。脈幅異常。脈寬度細。脈力度弱。脈速度慢。脈止率亂。,脈診,
441,偶 水 瀉症平,7,,新,_
442,腰痛久坐時加重,7,腰痛久坐時加重。,,_
443,不能沾過敏物質,7,,新,_
444,每日一行需用力,7,大便不暢。,新,_
445,月經先後不定期,7,月經先後不定期。,,_
446,咽喉沙啞異物感,7,咽阻。聲啞。,新,_
447,乳部纖維瘤切除,7,,新,_
448,乳房有纖維囊腫,7,,新,_
449,血壓藥不易控制,7,,新,_
450,乳房纖維性腺瘤,7,,新,_
451,腰酸按壓時減輕,7,腰酸按壓時減輕。,,_
452,心臟瓣膜脫垂史,7,,新,_
453,夜尿3次量不多,7,夜間小便次多。小便量少。,新,_
454,腰酸久坐時加重,7,腰酸久坐時加重。,,_
455,大便可眠可納可,7,,新,_
456,四肢背部皮膚癢,7,四肢癢。背癢。,新,_
457,食量大無法控制,7,食慾亢進。,新,_
458,腹熱按壓時加重,7,腹熱按壓時加重。,,_
459,腰痛溫暖時減輕,7,腰痛溫暖時減輕。,,_
460,腹脹 飯後明顯,7,腹脹食後加重。,新,_
461,經來不規則延後,7,月經週期長短不定。月經經期過長。,新,_
462,右側感覺異常麻,7,全身麻。,新,_
463,惡冷溫暖時減輕,7,惡冷溫暖時減輕。,,_
464,大便質初硬後稀,7,大便質初硬後稀。,,_
465,蹲下去不易起身,7,下肢無力。,新,_
466,胸汗出日時加重,7,胸汗出日時加重。,,_
467,胸痛按壓時減輕,7,胸痛按壓時減輕。,,_
468,胸痛溫暖時減輕,7,胸痛溫暖時減輕。,,_
